name,id,country,l1,l2,l3,latitude,longitude
Andorra (INAF),20,Andorra,,,1,42.5063,1.5218
Argentina (CNV),32,Argentina,,,1,-34.6058,-58.3708
Australia (ASIC),36,Australia,1,1,1,-35.4735,149.0124
Australian Government Treasury,36,Australia,,1,,-33.8688,151.2093
Austria (FMA),40,Austria,,1,,-33.8688,151.2093
Belgium (FSMA),56,Belgium,,1,1,-33.8688,151.2093
Brazil (CVM),76,Brazil,,,1,-33.8688,151.2093
Canada (AMF),124,Canada,,,1,-33.8688,151.2093
Canada (ASC),124,Canada,,,1,-33.8688,151.2093
Canada (CSA),124,Canada,,1,1,-33.8688,151.2093
Dubai (DFSA),784,United Arab Emirates,,,1,-33.8688,151.2093
European Union (ESMA),,,,1,1,-33.8688,151.2093
France (AMF),250,France,,1,,-33.8688,151.2093
Germany (BaFin),276,Germany,,1,1,-33.8688,151.2093
Gibraltar (GFSC),292,Gibraltar,,,1,-33.8688,151.2093
Guernsey (GFSC),831,Guernsey,,,1,-33.8688,151.2093
Hong Kong (SFC),344,Hong Kong,1,1,1,-33.8688,151.2093
Ireland (CBI),372,Ireland,,,1,-33.8688,151.2093
Isle of Man (FSA),833,Isle of Man,,1,,-33.8688,151.2093
Italy (CONSOB),380,Italy,1,,,-33.8688,151.2093
Japan (FSA),392,Japan,,,1,-33.8688,151.2093
Jersey (JFSC),832,Jersey,,,1,-33.8688,151.2093
Kenya (CMA),404,Kenya,,,1,-33.8688,151.2093
Kuwait (CMA),414,Kuwait,,,1,-33.8688,151.2093
Liechtenstein (FMA),438,Liechtenstein,,,1,-33.8688,151.2093
Malaysia (SC),458,Malaysia,,,1,-33.8688,151.2093
Malta (MFSA,470,Malta,,1,,-33.8688,151.2093
Mexico (CNBV),484,Mexico,,,1,-33.8688,151.2093
Netherlands (AFM),528,Netherlands,,,1,-33.8688,151.2093
New Zealand (FMA),554,New Zealand,,1,,-33.8688,151.2093
Norway (FSA),578,Norway,,,1,-33.8688,151.2093
Poland (KNF),616,Poland,,,1,-33.8688,151.2093
Portugal (CMVM),620,Portugal,,1,1,-33.8688,151.2093
Republic of Serbia (SC),688,Serbia,,,1,-33.8688,151.2093
Russia (BoR),643,Russian Federation,,,1,-33.8688,151.2093
Saudi Arabia (CMA),682,Saudi Arabia,,,1,-33.8688,151.2093
Singapore (MAS),702,Singapore,1,1,1,-33.8688,151.2093
Slovenia (SMA),705,Slovenia,,,1,-33.8688,151.2093
South Africa (FSCA),710,South Africa,,1,,-33.8688,151.2093
Spain (CNMV),724,Spain,,1,1,-33.8688,151.2093
Switzerland (FINMA),756,Switzerland,1,1,1,-33.8688,151.2093
Thailand (SEC),764,Thailand,,,1,-33.8688,151.2093
United Arab Emirates (SCA),784,United Arab Emirates,,,1,-33.8688,151.2093
United Kingdom (FCA),826,United Kingdom,,1,1,-33.8688,151.2093
US SEC,840,United States,1,1,1,-33.8688,151.2093